security,horizon,scheme,fold,use_categoricals,importance_type,feature,relevance,bucket,ntrees,depth,tau_w
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,xmpca_09,0.35067533040955917,cross_market,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,xmpca_10,1.0409825551155578,cross_market,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,xmpca_11,0.6475512215761119,cross_market,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,xmpca_12,0.6780202386932812,cross_market,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,security,0.0,categorical,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,country,0.0,categorical,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,maturity,0.0,categorical,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,LossFunctionChange,chg_lag1,0.001128141800896626,momentum,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,LossFunctionChange,chg_lag2,0.00029915813071895725,momentum,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,LossFunctionChange,chg_lag3,0.0003119727165641628,momentum,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,LossFunctionChange,chg_lag4,0.0008199594196076909,momentum,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,LossFunctionChange,chg_lag5,0.0,momentum,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,LossFunctionChange,carry_roll,0.020038624616729783,carry_roll,60,6,
